country,capital,latitude,longitude
Albania,Tirana,41.3275,19.8189
Andorra,Andorra la Vella,42.5078,1.5211
Austria,Vienna,48.2082,16.3738
Belarus,Minsk,53.9006,27.5590
Belgium,Brussels,50.8503,4.3517
Bosnia and Herzegovina,Sarajevo,43.8563,18.4131
Bulgaria,Sofia,42.6977,23.3219
Croatia,Zagreb,45.8150,15.9819
Cyprus,Nicosia,35.1667,33.3667
Czech Republic,Prague,50.0755,14.4378
Denmark,Copenhagen,55.6761,12.5683
Estonia,Tallinn,59.4370,24.7536
Finland,Helsinki,60.1695,24.9354
France,Paris,48.8566,2.3522
Germany,Berlin,52.5200,13.4050
Greece,Athens,37.9838,23.7275
Hungary,Budapest,47.4979,19.0402
Iceland,Reykjavik,64.1355,-21.8954
Ireland,Dublin,53.3498,-6.2603
Italy,Rome,41.9028,12.4964
Kosovo,Pristina,42.6629,21.1655
Latvia,Riga,56.9496,24.1052
Liechtenstein,Vaduz,47.1416,9.5215
Lithuania,Vilnius,54.6872,25.2797
Luxembourg,Luxembourg City,49.6117,6.1319
Malta,Valletta,35.8997,14.5146
Moldova,Chișinău,47.0105,28.8638
Monaco,Monaco,43.7384,7.4246
Montenegro,Podgorica,42.4410,19.2624
Netherlands,Amsterdam,52.3676,4.9041
North Macedonia,Skopje,41.9981,21.4254
Norway,Oslo,59.9139,10.7522
Poland,Warsaw,52.2297,21.0122
Portugal,Lisbon,38.7169,-9.1390
Romania,Bucharest,44.4268,26.1025
Russia,Moscow,55.7558,37.6173
San Marino,San Marino,43.9336,12.4508
Serbia,Belgrade,44.8176,20.4569
Slovakia,Bratislava,48.1486,17.1077
Slovenia,Ljubljana,46.0569,14.5058
Spain,Madrid,40.4168,-3.7038
Sweden,Stockholm,59.3293,18.0686
Switzerland,Bern,46.9481,7.4474
Turkey,Ankara,39.9208,32.8541
Ukraine,Kyiv,50.4501,30.5234
United Kingdom,London,51.5074,-0.1278
Vatican City,Vatican City,41.9029,12.4534
